MeterRegion,BillingCurrency,ResourceLocation,ConsumedService,ServiceInfo2,UnitOfMeasure,ProductOrderName,OfferId,IsAzureCreditEligible,PublisherName,ChargeType,Frequency,PublisherType,PricingModel,SubscriptionEnv,ResourceGroupEnv
-6065681624721579705,3590281387934736777,7088681131892340987,7400605863348642321,4722580973315896076,-3713200716904862463,-5538103961006188837,4935951538393978450,1,136279897255,6756922351569037218,7561487069954442225,5830235514288670948,3911755241650136700,9164901043888610898,-8960276643984109496
136279897255,3590281387934736777,7088681131892340987,8539038144679409899,136279897255,-3713200716904862463,136279897255,4935951538393978450,1,-1837320953569161394,6756922351569037218,7561487069954442225,5830235514288670948,1862989800562063200,3603575606015506352,3603575606015506352
3723745776002297444,3590281387934736777,-2634247746359076527,7400605863348642321,136279897255,-3713200716904862463,5252563480486681704,4935951538393978450,1,136279897255,6756922351569037218,7561487069954442225,5830235514288670948,3911755241650136700,9164901043888610898,136279897255
-6065681624721579705,3590281387934736777,7088681131892340987,7400605863348642321,4722580973315896076,-3713200716904862463,136279897255,4935951538393978450,1,-1837320953569161394,6756922351569037218,7561487069954442225,5830235514288670948,1862989800562063200,9164901043888610898,9164901043888610898
136279897255,3590281387934736777,2572255904448246320,8995940356872327161,136279897255,-3713200716904862463,136279897255,5526958534015499,1,-1837320953569161394,6756922351569037218,7561487069954442225,5830235514288670948,1862989800562063200,-5481541792072857547,-5481541792072857547
3723745776002297444,-9206616065206020875,2572255904448246320,7400605863348642321,1548127793856287896,-3713200716904862463,-1796732464568542558,4935951538393978450,1,136279897255,6756922351569037218,7561487069954442225,5830235514288670948,3911755241650136700,136279897255,136279897255
3723745776002297444,3590281387934736777,-2634247746359076527,7400605863348642321,-8009615696228246733,-3713200716904862463,136279897255,4935951538393978450,1,-1837320953569161394,6756922351569037218,7561487069954442225,5830235514288670948,1862989800562063200,3329170877729114569,3329170877729114569
136279897255,3590281387934736777,9032059151239463968,7371312289618877441,136279897255,-3713200716904862463,136279897255,4935951538393978450,1,-1837320953569161394,6756922351569037218,7561487069954442225,5830235514288670948,1862989800562063200,136279897255,5245054835673910631
3723745776002297444,-9206616065206020875,2572255904448246320,7400605863348642321,1548127793856287896,-3713200716904862463,-1796732464568542558,4935951538393978450,1,136279897255,6756922351569037218,7561487069954442225,5830235514288670948,3911755241650136700,136279897255,136279897255
-3908368337552534603,3590281387934736777,-7548465626332798121,8539038144679409899,136279897255,5885697544816725632,136279897255,4935951538393978450,1,-1837320953569161394,6756922351569037218,7561487069954442225,5830235514288670948,1862989800562063200,9164901043888610898,9164901043888610898
-6065681624721579705,3590281387934736777,7088681131892340987,73326669543905143,136279897255,-8707629520530147382,136279897255,4935951538393978450,1,-1837320953569161394,6756922351569037218,7561487069954442225,5830235514288670948,1862989800562063200,136279897255,136279897255
